=== QASM Benchmark Gate Composition Statistics (jku_suite) ===

CNOT ratio thresholds (low=30.42%, high=31.09%)
z4_268.qasm                CNOT/CZ%= 30.41%  T%= 30.28%
rd84_253.qasm              CNOT/CZ%= 30.38%  T%= 30.36%

--- Group Misc: Other / Unclassified ---
sf_274.qasm                CNOT/CZ%= 30.08%  T%= 30.08%
C17_204.qasm               CNOT/CZ%= 30.51%  T%= 30.21%
rd53_138.qasm              CNOT/CZ%= 31.25%  T%= 29.17%
ham15_107.qasm             CNOT/CZ%= 30.57%  T%= 30.23%
4gt4-v0_73.qasm            CNOT/CZ%= 31.18%  T%= 29.27%
alu-v0_26.qasm             CNOT/CZ%= 31.15%  T%= 28.69%
sys6-v0_111.qasm           CNOT/CZ%= 31.31%  T%= 29.07%
qe_qft_5.qasm              CNOT/CZ%= 25.85%  T%=  0.00%
qiskit-alu-v0_26.qasm      CNOT/CZ%= 31.15%  T%= 28.69%
ising_model_10.qasm        CNOT/CZ%= 10.59%  T%=  0.00%
alu-v2_31.qasm             CNOT/CZ%= 30.51%  T%= 30.20%
4mod5-v0_18.qasm           CNOT/CZ%= 31.00%  T%= 28.00%
urf1_149.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
radd_250.qasm              CNOT/CZ%= 30.42%  T%= 30.32%
mini_alu_305.qasm          CNOT/CZ%= 30.80%  T%= 28.00%
ising_model_16.qasm        CNOT/CZ%= 10.74%  T%=  0.00%
4_49_16.qasm               CNOT/CZ%= 31.33%  T%= 28.80%
ex2_227.qasm               CNOT/CZ%= 30.35%  T%= 30.13%
4gt4-v0_78.qasm            CNOT/CZ%= 31.69%  T%= 28.49%
ising_model_13.qasm        CNOT/CZ%= 10.69%  T%=  0.00%
alu-bdd_288.qasm           CNOT/CZ%= 31.15%  T%= 28.69%
4gt12-v0_86.qasm           CNOT/CZ%= 31.61%  T%= 28.61%
sym9_146.qasm              CNOT/CZ%= 31.09%  T%= 29.41%
decod24-v3_45.qasm         CNOT/CZ%= 29.91%  T%= 29.44%
rd53_131.qasm              CNOT/CZ%= 29.90%  T%= 29.30%
urf4_187.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
mod5adder_127.qasm         CNOT/CZ%= 30.10%  T%= 29.97%
hwb4_49.qasm               CNOT/CZ%= 31.47%  T%= 28.82%
4mod5-v1_24.qasm           CNOT/CZ%= 30.77%  T%= 26.92%
4gt4-v0_79.qasm            CNOT/CZ%= 31.25%  T%= 29.17%
rd53_130.qasm              CNOT/CZ%= 30.05%  T%= 30.05%
qe_qft_4.qasm              CNOT/CZ%= 27.00%  T%=  0.00%
rd73_140.qasm              CNOT/CZ%= 31.14%  T%= 29.34%
hwb9_119.qasm              CNOT/CZ%= 30.45%  T%= 30.42%
urf2_152.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
urf3_155.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
ground_state_estimation_10.qasm  CNOT/CZ%= 28.95%  T%=  0.00%
hwb7_59.qasm               CNOT/CZ%= 30.46%  T%= 30.39%
plus63mod8192_164.qasm     CNOT/CZ%= 30.44%  T%= 30.43%
decod24-enable_126.qasm    CNOT/CZ%= 30.60%  T%= 30.18%
qft_20.qasm                CNOT/CZ%= 28.15%  T%=  0.00%
sym6_145.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
4gt12-v0_87.qasm           CNOT/CZ%= 31.20%  T%= 29.25%
sym9_148.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
decod24-v2_43.qasm         CNOT/CZ%= 29.73%  T%= 28.38%
aj-e11_165.qasm            CNOT/CZ%= 31.36%  T%= 28.64%
qft_16.qasm                CNOT/CZ%= 24.19%  T%=  0.00%
decod24-bdd_294.qasm       CNOT/CZ%= 30.48%  T%= 26.67%
rd32-v1_68.qasm            CNOT/CZ%= 30.77%  T%= 26.92%
urf6_160.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
qft_10.qasm                CNOT/CZ%= 23.68%  T%=  0.00%
hwb6_56.qasm               CNOT/CZ%= 30.51%  T%= 30.32%
cm82a_208.qasm             CNOT/CZ%= 30.33%  T%= 30.01%
4mod5-bdd_287.qasm         CNOT/CZ%= 30.69%  T%= 27.72%
rd32_270.qasm              CNOT/CZ%= 30.00%  T%= 29.17%
cycle10_2_110.qasm         CNOT/CZ%= 30.44%  T%= 30.42%
4gt13_92.qasm              CNOT/CZ%= 31.25%  T%= 29.17%
mini-alu_167.qasm          CNOT/CZ%= 30.43%  T%= 30.43%
rd53_135.qasm              CNOT/CZ%= 31.16%  T%= 29.30%
sym6_316.qasm              CNOT/CZ%= 31.30%  T%= 28.50%
plus63mod4096_163.qasm     CNOT/CZ%= 30.44%  T%= 30.43%
4gt4-v0_72.qasm            CNOT/CZ%= 30.46%  T%= 30.19%
miller_11.qasm             CNOT/CZ%= 31.51%  T%= 28.77%
hwb8_113.qasm              CNOT/CZ%= 30.45%  T%= 30.41%
urf5_158.qasm              CNOT/CZ%= 30.43%  T%= 30.43%
square_root_7.qasm         CNOT/CZ%= 29.98%  T%= 28.33%
sf_276.qasm                CNOT/CZ%= 30.16%  T%= 30.16%
rd53_311.qasm              CNOT/CZ%= 31.08%  T%= 28.07%

